seed_index,norad_id,prn,route_sector,seconds_from_reference,minutes_from_element_epoch,x_teme_km,y_teme_km,z_teme_km,vx_teme_km_s,vy_teme_km_s,vz_teme_km_s,x_pef_km,y_pef_km,z_pef_km,radius_km,sgp4_error,name,object_id
0,5,0,5,604800.000000000,3161587.973500800,-1586.258508306,-7610.928559238,1493.475476059,5.598263758,-3.166668675,-3.630466502,-6090.325552589,-4832.223530890,1493.475476059,7916.622928155,0,"VALLADO 00005 NEAR","1958-002B"
1,4632,0,4,604800.000000000,1270686.880583998,2260.101607715,-40619.650738965,2659.881845145,2.939568634,-0.142502283,0.472504152,-24263.282594724,-32655.125220419,2659.881845145,40769.339666750,0,"VALLADO 04632 DEEP NONRESONANT","1970-093B"
2,8195,0,4,604800.000000000,10080.000000000,5821.445305354,-18182.841967554,6488.007107306,2.250254933,-1.427133781,4.175252272,-7165.760863082,-17696.237981939,6488.007107306,20164.305187254,0,"VALLADO 08195 HALF-DAY","1975-081A"
3,14128,0,0,604800.000000000,10517.335934401,-17475.655652702,37872.409952621,8318.041398926,-2.771115977,-1.299343446,0.108385777,10814.572027020,40283.532714791,8318.041398926,42531.256609998,0,"VALLADO 14128 SYNCHRONOUS","1983-058A"
4,28129,0,5,604800.000000000,11176.478035200,-23331.657554057,9273.455249191,-8494.069371378,0.056519279,-2.569023391,-2.909934460,-11990.212070880,22058.967132980,-8494.069371378,26504.951065119,0,"VALLADO 28129 GPS-LIKE","2003-058A"
