seed_index,norad_id,prn,route_sector,seconds_from_reference,minutes_from_element_epoch,x_teme_km,y_teme_km,z_teme_km,vx_teme_km_s,vy_teme_km_s,vz_teme_km_s,x_pef_km,y_pef_km,z_pef_km,radius_km,sgp4_error,name,object_id
0,5,0,5,3600.000000000,3151567.973500800,-280.929307286,7868.491401970,-2173.312238167,-6.036351603,-0.483249781,3.843571562,5653.635286691,5479.825386237,-2173.312238167,8167.947373921,0,"VALLADO 00005 NEAR","1958-002B"
1,4632,0,4,3600.000000000,1260666.880583998,-18404.143844485,25872.612422467,-4373.104590212,-2.969681971,-2.295392600,-0.340870812,6879.415723643,30996.422753488,-4373.104590212,32050.407610023,0,"VALLADO 04632 DEEP NONRESONANT","1970-093B"
2,8195,0,4,3600.000000000,60.000000000,10254.435482106,-19499.170538100,14603.631370916,1.725665019,-0.103520248,3.488275741,-7607.202604639,-20676.111028493,14603.631370916,26431.745079509,0,"VALLADO 08195 HALF-DAY","1975-081A"
3,14128,0,0,3600.000000000,497.335934401,-39145.046649609,15145.449745283,7081.568188517,-1.153020345,-2.815018264,-0.331523066,-14979.524388787,39208.840511709,7081.568188517,42566.042019379,0,"VALLADO 14128 SYNCHRONOUS","1983-058A"
4,28129,0,5,3600.000000000,1156.478035200,-22361.253048432,4026.643403894,-13593.429867581,1.000284349,-2.837179660,-2.460114978,-11990.717255294,19299.279642042,-13593.429867581,26476.797966578,0,"VALLADO 28129 GPS-LIKE","2003-058A"
