pattern,logical_entries,table_bytes,l2_fraction,candidates,setup_ms,upload_ms,readback_ms,device_p50_ms,device_p95_ms,device_p99_ms,lookup_mps,logical_gbps,validated_outputs,validation
sequential,2048,4100,0.000109,65536,4.818200,0.176100,0.106400,0.004032,0.005523,0.005533,16253.968254,130.031746,65536,1
sequential,1048576,2097156,0.055556,1048576,11.349500,0.925700,0.428800,0.010240,0.010483,0.010493,102400.000000,819.200000,1048576,1
random,2048,4100,0.000109,65536,0.626200,0.318000,0.071700,0.005568,0.007168,0.007398,11770.114943,94.160920,65536,1
random,1048576,2097156,0.055556,1048576,11.761700,2.131600,0.351700,0.028704,0.028730,0.028735,36530.657748,292.245262,1048576,1
