seed_index,norad_id,object_name,orbit_class,service_class,station_index,station_id,station_name,support_possible,compatible,active,station_orbit_mask,station_service_mask,period_min,perigee_km,apogee_km
6,25994,TERRA,LEO,EARTH_OBS|SCIENCE,1,1002,NL Science Profile,1,1,1,LEO|HEO,EARTH_OBS|SCIENCE|CREWED,98.492211,683.959615,689.208702
6,25994,TERRA,LEO,EARTH_OBS|SCIENCE,2,1003,Svalbard Polar Profile,1,1,1,LEO,EARTH_OBS|SCIENCE,98.492211,683.959615,689.208702
6,25994,TERRA,LEO,EARTH_OBS|SCIENCE,3,1004,Canberra Deep Profile,1,0,0,MEO|GEO|HEO,NAV|RELAY|SCIENCE,98.492211,683.959615,689.208702
6,25994,TERRA,LEO,EARTH_OBS|SCIENCE,4,1005,Goldstone Deep Profile,1,0,0,MEO|GEO|HEO,NAV|RELAY|SCIENCE,98.492211,683.959615,689.208702
6,25994,TERRA,LEO,EARTH_OBS|SCIENCE,5,1006,Madrid Deep Profile,1,0,0,MEO|GEO|HEO,NAV|RELAY|SCIENCE,98.492211,683.959615,689.208702
6,25994,TERRA,LEO,EARTH_OBS|SCIENCE,6,1007,Hawaii Navigation Profile,1,0,0,MEO,NAV,98.492211,683.959615,689.208702
6,25994,TERRA,LEO,EARTH_OBS|SCIENCE,7,1008,Singapore Relay Profile,1,0,0,GEO,RELAY,98.492211,683.959615,689.208702
6,25994,TERRA,LEO,EARTH_OBS|SCIENCE,8,1009,Cape Town EO Profile,1,1,1,LEO,EARTH_OBS|SCIENCE,98.492211,683.959615,689.208702
6,25994,TERRA,LEO,EARTH_OBS|SCIENCE,9,1010,Santiago EO Profile,1,1,1,LEO,EARTH_OBS|SCIENCE,98.492211,683.959615,689.208702
6,25994,TERRA,LEO,EARTH_OBS|SCIENCE,10,1011,McMurdo Polar Profile,1,1,1,LEO,EARTH_OBS|SCIENCE,98.492211,683.959615,689.208702
6,25994,TERRA,LEO,EARTH_OBS|SCIENCE,11,1012,Tokyo Science Profile,1,1,1,LEO|MEO|HEO,NAV|SCIENCE|CREWED,98.492211,683.959615,689.208702
