seed_index,norad_id,prn,route_sector,seconds_from_reference,minutes_from_element_epoch,x_teme_km,y_teme_km,z_teme_km,vx_teme_km_s,vy_teme_km_s,vz_teme_km_s,x_pef_km,y_pef_km,z_pef_km,radius_km,sgp4_error,name,object_id
0,5,0,5,-86400.000000000,3150067.973500800,8798.464476729,-342.908884847,-5119.201262147,-0.859851953,5.447909324,-1.297214062,7287.367260027,-4942.149539326,-5119.201262147,10185.125684740,0,"VALLADO 00005 NEAR","1958-002B"
1,4632,0,4,-86400.000000000,1259166.880583998,35673.882981560,15036.171724375,4805.144761951,-1.549053295,2.685052427,-0.396583560,38230.482737390,-6094.471000264,4805.144761951,39010.278174992,0,"VALLADO 04632 DEEP NONRESONANT","1970-093B"
2,8195,0,4,-86400.000000000,-1440.000000000,1795.049332676,-14049.700613180,-947.434540307,2.784637180,-3.643927317,4.486405513,-5903.252277596,-12875.088425862,-947.434540307,14195.559926783,0,"VALLADO 08195 HALF-DAY","1975-081A"
3,14128,0,0,-86400.000000000,-1002.664065599,-35459.526464177,22194.145978001,7816.657674743,-1.658640689,-2.561955424,-0.230512193,-18367.729695797,37584.366943966,7816.657674743,42556.530285735,0,"VALLADO 14128 SYNCHRONOUS","1983-058A"
4,28129,0,5,-86400.000000000,-343.521964800,-22567.758320211,13731.575040128,-2528.088872731,-0.897090827,-2.086968291,-3.142243760,-11897.972181807,23585.973090867,-2528.088872731,26537.729782907,0,"VALLADO 28129 GPS-LIKE","2003-058A"
