source_id,page,matched_terms,text_chars
S3,35,phase;cone;spherical;raster;lut;vector;waveguide;state;jitter;sieve,2725
S3,36,lut;phi;state;sieve,2455
S3,37,event;lut;jitter,2861
S3,38,lut;invariant;collision;topolog;identity,1655
S3,39,spherical;raster;lut;phi;sieve,2698
S3,40,phase;spherical;raster;lut;phi;information;sieve,1924
S3,41,phase;sdf;spherical;raster;lut;jitter;sieve,2609
S3,42,phase;grammar;raster;lut;phi;projection;jitter;sieve,2065
S3,43,sheet;cone;spherical;raster;lut;phi;projection;state,2954
S3,44,raster;jitter,2157
S3,45,event;sheet;lineage;raster;lut;state;sieve,2420
S3,46,raster;lut;ccd;sieve,1975
S3,47,phase;sheet;spherical;polar;raster;lut;log encoded;identity;sieve,2475
S3,48,event;cone;polar;lut;ccd;sieve,2106
S3,49,sheet;cone;polar;raster;lut;invariant;information;state;jitter;sieve,2904
S3,50,polar;lut;topolog;state,1800
S3,51,spherical;polar;raster;lut;jitter;sieve,2492
S3,52,phase;spherical;waveguide;phi;sieve,1522
S3,53,sheet;lineage;phi;sieve,1139
S3,54,spherical;raster;state;sieve,2113
S3,55,sheet;spherical;polar;raster;lut;collision;state;jitter;sieve,2855
S3,56,raster;state;sieve,1968
S3,57,phase;raster;lut;information;state;jitter;sieve,2719
S3,58,cone;lut;sieve,1954
S3,59,sheet;sdf;cone;raster;state;jitter;sieve,2943
S3,60,raster;lut;state,2051
S3,61,sheet;lut;memory;sieve,2564
S3,62,lut;liquid;information;state;memory,1749
S3,63,identity;state;memory;sieve,2689
S3,64,,2298
S3,65,relation;grammar;information;state,2566
S3,66,event;spherical;lut;vector;state;jitter;sieve,2366
S3,67,raster;state;sieve,2748
S3,68,,39
S4,1,state;memory,1742
S4,2,address;memory,571
S4,3,event;lut;address,1300
S4,4,memory,1692
S4,5,,892
S4,6,lut;vector;liquid,2306
S4,7,lut,895
S4,8,event,1797
S4,9,,971
S4,10,phi,1905
S4,11,phase;vector;phi,1329
S4,12,phase;vector,2011
S4,13,event;phase;lut;vector,1332
S4,14,event;phase;vector;phi,2076
S4,15,vector;phi,1004
S4,16,phase;vector;phi,2207
S4,17,lut;phi,823
S4,18,phase;vector;phi;topolog;information;state,2230
S4,19,vector,362
S5,1,query;relation;event;spherical;throughput;phi;topolog;projection;state,1437
S5,2,query;relation;event;phase;double vacuum;cone;vector;phi;topolog;identity;state,1926
S5,3,spherical;polar;log-polar;phi;state,2213
S5,4,phase;spherical;raster;vector;invariant;state,2200
S5,5,event;phase;raster;collision;phi;state,2199
S5,6,relation;event;double vacuum;lineage;grammar;raster;invariant;information;identity;memory,2382
S5,7,lineage;raster;invariant;address;phi;identity;projection;state,2253
S5,8,event;lineage;grammar;raster;invariant;branch;identity;projection;state,2035
S5,9,relation;phase;sheet;raster;raymarch;lut;compatibility;invariant;phi;identity;projection;state,2293
S5,10,query;event;sdf;grammar;raster;voxel;compatibility;invariant;branch;collision;state;memory;novelty-proportional,2302
S5,11,event;lineage;grammar;lut;invariant;branch;information;identity;state;memory;exogenous log,2074
