mode,objects,stations,total_pairs,support_pairs,active_pairs,support_rejection_gain,compatibility_rejection_gain,total_rejection_gain,intervals,propagated_object_intervals,relation_intervals,supported_intervals,compatible_intervals,boundary_evaluations,visible_endpoints,acquisition_events,loss_events,total_events,propagation_failures,elapsed_seconds,object_propagations_per_second,logical_relations_per_second
all,58,16,928,711,438,1.305203938,1.623287671,2.118721461,10080,584640,9354240,5932861,3970997,3970997,1101511,4653,4682,9335,0,0.462858900,1263106.315985282,20209701.055764511
support,58,16,928,711,438,1.305203938,1.623287671,2.118721461,10080,584640,7166880,5932861,3970997,3970997,1101511,4653,4682,9335,0,0.416053700,1405203.222564779,17225853.297302727
active,58,16,928,711,438,1.305203938,1.623287671,2.118721461,10080,584640,4415040,3970997,3970997,3970997,1101511,4653,4682,9335,0,0.358564500,1630501.625230607,12313098.480189756
