dataset,sample_file,norad_id,seconds_from_reference,minutes_from_element_epoch,klb_error,python_sgp4_error,position_delta_km,velocity_delta_km_s
gps_operational,gps_1.csv,40534,1.0,489.015337066,0,0,3.363319085466775e-08,6.370891373815822e-10
gps_operational,gps_1.csv,40730,1.0,256.954124264,0,0,1.7976074407717832e-08,5.08651198542329e-10
gps_operational,gps_1.csv,41019,1.0,898.305298666,0,0,3.667820160879442e-08,6.123736162424745e-10
gps_operational,gps_1.csv,41328,1.0,1486.694295466,0,0,1.2395859202148074e-08,7.126264840273242e-10
gps_operational,gps_1.csv,43873,1.0,176.628260267,0,0,5.1500439182261905e-08,3.754030865071701e-10
gps_operational,gps_1.csv,44506,1.0,623.228218667,0,0,6.689034978140786e-08,4.691015161533079e-10
gps_operational,gps_1.csv,45854,1.0,623.228218667,0,0,6.702812863614253e-08,6.61562920266398e-10
gps_operational,gps_1.csv,46826,1.0,613.228210664,0,0,4.742082088154748e-08,5.319425961089161e-10
gps_operational,gps_1.csv,48859,1.0,1281.575093865,0,0,9.179932100615162e-08,4.1382522410814145e-10
gps_operational,gps_1.csv,55268,1.0,613.228210664,0,0,4.765955866026513e-08,3.3264948824371284e-10
gps_operational,gps_1.csv,62339,1.0,2325.115546664,0,0,9.188942628066563e-08,3.3954312007993557e-10
gps_operational,gps_1.csv,64202,1.0,1162.945719465,0,0,8.888135380835092e-08,4.80331239180665e-10
gps_operational,gps_1.csv,67588,1.0,1733.272393064,0,0,6.85213221881128e-08,9.20713617311838e-11
gps_operational,gps_1.csv,68791,1.0,16862.897669864,0,0,6.783557898463936e-08,6.844382769403317e-10
gps_operational,gps_302400.csv,26407,302400.0,5071.789627198,0,0,8.702214168376658e-08,4.663057594509069e-10
gps_operational,gps_302400.csv,27663,302400.0,5407.790414397,0,0,1.7557392759941604e-08,2.2143388662054395e-10
gps_operational,gps_302400.csv,28190,302400.0,5040.0,0,0,5.144372494662279e-10,6.18164066247578e-10
gps_operational,gps_302400.csv,28474,302400.0,5137.816463999,0,0,1.0431798927237846e-08,2.7909036609925726e-10
gps_operational,gps_302400.csv,28874,302400.0,5141.8887984,0,0,5.3869543779359715e-08,6.530403935569228e-10
gps_operational,gps_302400.csv,29486,302400.0,5604.714143999,0,0,9.684721960733048e-08,3.040953846321508e-10
gps_operational,gps_302400.csv,29601,302400.0,5732.877081597,0,0,3.434742234595543e-08,5.285163200432474e-10
gps_operational,gps_302400.csv,32260,302400.0,6008.923180799,0,0,7.252412887450332e-08,5.289002159991253e-10
gps_operational,gps_302400.csv,32384,302400.0,5918.889614399,0,0,6.385882975312142e-08,5.191748137639896e-10
gps_operational,gps_302400.csv,32711,302400.0,5423.369572798,0,0,9.659920839825531e-08,5.814287367513193e-10
gps_operational,gps_302400.csv,35752,302400.0,5795.125703998,0,0,9.412203442250189e-08,5.777182782453143e-10
gps_operational,gps_302400.csv,36585,302400.0,6034.045766397,0,0,7.298526932124149e-08,5.14806929450067e-10
gps_operational,gps_302400.csv,38833,302400.0,8755.384319997,0,0,3.915755376967163e-08,7.120198210464836e-10
gps_operational,gps_302400.csv,39166,302400.0,6072.9600528,0,0,4.1493370297208123e-08,4.802767770465455e-10
gps_operational,gps_302400.csv,39533,302400.0,5352.303239997,0,0,5.301252834450819e-08,6.377743214130694e-10
gps_operational,gps_302400.csv,39741,302400.0,5670.9785664,0,0,4.8410657048951505e-08,4.3431535423444444e-10
gps_operational,gps_302400.csv,40105,302400.0,5540.0310576,0,0,4.2301410888680665e-08,5.5943284955975e-10
gps_operational,gps_302400.csv,40294,302400.0,5727.826857599,0,0,8.741353979923534e-08,4.795178878387149e-10
gps_operational,gps_302400.csv,40534,302400.0,5528.998670399,0,0,4.3178986707648773e-08,5.360559270121542e-10
gps_operational,gps_302400.csv,40730,302400.0,5296.937457597,0,0,5.944130302708533e-08,6.802693656639224e-10
gps_operational,gps_302400.csv,41019,302400.0,5938.288631999,0,0,1.1351920163338288e-07,3.3845810668525e-10
gps_operational,gps_302400.csv,41328,302400.0,6526.677628799,0,0,6.456123261657016e-08,5.370114784506214e-10
gps_operational,gps_302400.csv,43873,302400.0,5216.6115936,0,0,2.7233949685450598e-08,7.841169468777989e-10
gps_operational,gps_302400.csv,44506,302400.0,5663.211552,0,0,1.0933881311944042e-08,5.168772546249108e-10
gps_operational,gps_302400.csv,45854,302400.0,5663.211552,0,0,1.0987013873639447e-08,6.632088777138749e-10
gps_operational,gps_302400.csv,46826,302400.0,5653.211543997,0,0,2.9776390951122887e-08,4.592262778322899e-10
gps_operational,gps_302400.csv,48859,302400.0,6321.558427199,0,0,6.333097057693261e-08,6.053840473516011e-10
gps_operational,gps_302400.csv,55268,302400.0,5653.211543997,0,0,2.997828513436036e-08,4.4328491549829786e-10
gps_operational,gps_302400.csv,62339,302400.0,7365.098879997,0,0,1.4863025082440706e-08,7.104817063433489e-10
gps_operational,gps_302400.csv,64202,302400.0,6202.929052798,0,0,1.0627024925997613e-08,5.730780019413154e-10
gps_operational,gps_302400.csv,67588,302400.0,6773.255726397,0,0,8.730554345121266e-09,4.554026343300467e-10
gps_operational,gps_302400.csv,68791,302400.0,21902.881003197,0,0,8.35976342398497e-09,5.56077959146928e-10
gps_operational,gps_3600.csv,26407,3600.0,91.789627198,0,0,8.700298734637235e-08,3.5879793119796186e-10
gps_operational,gps_3600.csv,27663,3600.0,427.790414397,0,0,1.727672161590873e-08,3.419379710892027e-10
gps_operational,gps_3600.csv,28190,3600.0,60.0,0,0,8.482928803230823e-10,6.834776942158219e-10
gps_operational,gps_3600.csv,28474,3600.0,157.816463999,0,0,1.0293497785581553e-08,5.13096180464734e-10
gps_operational,gps_3600.csv,28874,3600.0,161.8887984,0,0,5.389223225727837e-08,5.700809920964311e-10
gps_operational,gps_3600.csv,29486,3600.0,624.714143999,0,0,9.69744553596072e-08,2.3090925481562826e-10
gps_operational,gps_3600.csv,29601,3600.0,752.877081597,0,0,3.464230495904234e-08,5.941045398010195e-10
gps_operational,gps_3600.csv,32260,3600.0,1028.923180799,0,0,7.262012973726009e-08,3.086080479860456e-10
gps_operational,gps_3600.csv,32384,3600.0,938.889614399,0,0,6.302305951163243e-08,6.336184532442899e-10
gps_operational,gps_3600.csv,32711,3600.0,443.369572798,0,0,9.72707864694757e-08,3.4838341633196676e-10
gps_operational,gps_3600.csv,35752,3600.0,815.125703998,0,0,9.401909497644325e-08,2.417446629603583e-10
gps_operational,gps_3600.csv,36585,3600.0,1054.045766397,0,0,7.391093540098807e-08,4.500638742405497e-10
gps_operational,gps_3600.csv,38833,3600.0,3775.384319997,0,0,3.93988496107729e-08,6.149291138339538e-10
gps_operational,gps_3600.csv,39166,3600.0,1092.9600528,0,0,4.0758621542331264e-08,4.811509410148098e-10
gps_operational,gps_3600.csv,39533,3600.0,372.303239997,0,0,5.37374865826636e-08,5.147466618458018e-10
gps_operational,gps_3600.csv,39741,3600.0,690.9785664,0,0,4.922016533017608e-08,5.825430623839076e-10
gps_operational,gps_3600.csv,40105,3600.0,560.0310576,0,0,4.219543195554537e-08,6.444629967231815e-10
gps_operational,gps_3600.csv,40294,3600.0,747.826857599,0,0,8.74580687873194e-08,5.037356884035891e-10
gps_operational,gps_3600.csv,40534,3600.0,548.998670399,0,0,4.391505903057269e-08,5.81966985366734e-10
gps_operational,gps_3600.csv,40730,3600.0,316.937457597,0,0,5.926941716497904e-08,5.006386917625335e-10
gps_operational,gps_3600.csv,41019,3600.0,958.288631999,0,0,1.1365758871673744e-07,5.781311307487186e-10
gps_operational,gps_3600.csv,41328,3600.0,1546.677628799,0,0,6.417096117659254e-08,6.641990603860022e-10
gps_operational,gps_3600.csv,43873,3600.0,236.6115936,0,0,2.5923500285817564e-08,5.697605172172282e-10
gps_operational,gps_3600.csv,44506,3600.0,683.211552,0,0,1.0236020519388379e-08,2.502414576789115e-10
gps_operational,gps_3600.csv,45854,3600.0,683.211552,0,0,1.0441480304206093e-08,1.2543694219997555e-10
gps_operational,gps_3600.csv,46826,3600.0,673.211543997,0,0,3.003110635900714e-08,4.084778284389784e-10
gps_operational,gps_3600.csv,48859,3600.0,1341.558427199,0,0,6.324701918127118e-08,5.71035178733483e-10
gps_operational,gps_3600.csv,55268,3600.0,673.211543997,0,0,2.9179099214625944e-08,5.482053969510566e-10
gps_operational,gps_3600.csv,62339,3600.0,2385.098879997,0,0,1.4532161807209982e-08,3.992990661194355e-10
gps_operational,gps_3600.csv,64202,3600.0,1222.929052798,0,0,1.1340551727395669e-08,4.2695119991584004e-10
